,Episode,Time Step,Average Reward,Episode Reward
0,0,11,9.35,11.0
1,1,38,9.38,27.0
2,2,44,9.33,6.0
3,3,82,9.2,38.0
4,4,90,9.28,8.0
5,5,115,9.4,25.0
6,6,142,9.31,27.0
7,7,159,9.32,17.0
8,8,165,9.33,6.0
9,9,174,9.23,9.0
10,10,196,9.41,22.0
11,11,213,14.84,17.0
12,12,226,21.98,13.0
13,13,238,35.11,12.0
14,14,286,81.58,48.0
15,15,362,51.69,76.0
16,16,382,35.95,20.0
17,17,387,35.94,5.0
18,18,398,23.89,11.0
19,19,406,22.59,8.0
20,20,452,36.31,46.0
21,21,476,34.82,24.0
22,22,487,33.5,11.0
23,23,536,29.33,49.0
24,24,547,9.34,11.0
25,25,560,9.35,13.0
26,26,575,9.24,15.0
27,27,604,9.34,29.0
28,28,621,40.94,17.0
29,29,626,15.98,5.0
30,30,639,13.33,13.0
31,31,650,34.64,11.0
32,32,670,9.37,20.0
33,33,676,9.23,6.0
34,34,712,9.4,36.0
35,35,723,9.27,11.0
36,36,780,9.36,57.0
37,37,815,9.34,35.0
38,38,830,9.31,15.0
39,39,835,9.42,5.0
40,40,852,9.27,17.0
41,41,869,9.35,17.0
42,42,875,9.26,6.0
43,43,899,9.3,24.0
44,44,911,9.39,12.0
45,45,952,39.43,41.0
46,46,969,9.27,17.0
47,47,983,9.34,14.0
48,48,999,60.66,16.0
49,49,1017,9.33,18.0
50,50,1044,9.36,27.0
51,51,1064,9.36,20.0
52,52,1081,9.3,17.0
53,53,1100,9.3,19.0
54,54,1109,9.34,9.0
55,55,1122,9.3,13.0
56,56,1136,9.41,14.0
57,57,1141,9.43,5.0
58,58,1168,9.42,27.0
59,59,1185,60.55,17.0
60,60,1193,9.33,8.0
61,61,1216,9.28,23.0
62,62,1233,9.34,17.0
63,63,1247,9.44,14.0
64,64,1258,9.34,11.0
65,65,1270,9.37,12.0
66,66,1285,9.38,15.0
67,67,1301,9.35,16.0
68,68,1313,9.31,12.0
69,69,1338,16.51,25.0
70,70,1361,9.5,23.0
71,71,1372,9.42,11.0
72,72,1387,9.34,15.0
73,73,1413,9.3,26.0
74,74,1426,9.49,13.0
75,75,1445,9.29,19.0
76,76,1460,9.41,15.0
77,77,1470,9.36,10.0
78,78,1479,9.27,9.0
79,79,1498,9.42,19.0
80,80,1506,9.42,8.0
81,81,1509,9.4,3.0
82,82,1515,9.43,6.0
83,83,1540,9.25,25.0
84,84,1549,70.5,9.0
85,85,1560,9.33,11.0
86,86,1563,9.2,3.0
87,87,1582,9.32,19.0
88,88,1597,9.83,15.0
89,89,1606,9.39,9.0
90,90,1623,9.37,17.0
91,91,1628,9.47,5.0
92,92,1635,9.32,7.0
93,93,1644,19.8,9.0
94,94,1657,18.84,13.0
95,95,1669,9.31,12.0
96,96,1678,9.54,9.0
97,97,1681,9.41,3.0
98,98,1724,21.84,43.0
99,99,1751,10.38,27.0
100,100,1773,89.89,22.0
101,101,1793,17.37,20.0
102,102,1811,99.15,18.0
103,103,1861,12.81,50.0
104,104,1903,12.19,42.0
105,105,1921,19.29,18.0
106,106,1941,12.77,20.0
107,107,1957,12.67,16.0
108,108,1996,14.66,39.0
109,109,2003,11.85,7.0
110,110,2011,14.58,8.0
111,111,2033,15.07,22.0
112,112,2046,17.51,13.0
113,113,2063,13.01,17.0
114,114,2105,15.52,42.0
115,115,2131,14.57,26.0
116,116,2145,14.24,14.0
117,117,2185,12.88,40.0
118,118,2211,15.35,26.0
119,119,2267,48.69,56.0
120,120,2311,86.05,44.0
121,121,2315,69.62,4.0
122,122,2394,82.47,79.0
123,123,2502,25.59,108.0
124,124,2602,105.73,100.0
125,125,2771,132.22,169.0
126,126,2926,432.12,155.0
127,127,3105,147.2,179.0
128,128,3445,172.82,340.0
129,129,3639,285.39,194.0
130,130,3968,221.45,329.0
131,131,4167,189.36,199.0
132,132,4343,210.91,176.0
133,133,4567,208.73,224.0
134,134,4745,187.25,178.0
135,135,5037,180.12,292.0
136,136,5374,500.0,337.0
137,137,5580,216.62,206.0
138,138,5753,272.68,173.0
