,Episode,Time Step,Average Reward,Episode Reward
139,139,6253,337.52,500.0
140,140,6437,207.46,184.0
141,141,6658,194.15,221.0
142,142,6801,203.19,143.0
143,143,6956,186.14,155.0
144,144,7100,195.72,144.0
145,145,7279,154.34,179.0
146,146,7459,181.12,180.0
147,147,7635,182.1,176.0
148,148,7798,162.86,163.0
149,149,7930,155.71,132.0
150,150,8134,147.79,204.0
151,151,8348,160.36,214.0
152,152,8364,147.88,16.0
153,153,8516,144.9,152.0
154,154,8655,196.64,139.0
155,155,8863,155.56,208.0
156,156,9142,130.42,279.0
157,157,9298,145.06,156.0
158,158,9441,135.31,143.0
159,159,9706,160.57,265.0
160,160,9732,148.58,26.0
161,161,9852,150.64,120.0
162,162,9979,135.88,127.0
163,163,10111,139.56,132.0
164,164,10293,133.04,182.0
165,165,10475,153.66,182.0
166,166,10635,142.36,160.0
167,167,10769,151.12,134.0
168,168,10892,145.82,123.0
169,169,11003,160.18,111.0
170,170,11128,148.33,125.0
171,171,11249,140.99,121.0
172,172,11487,156.66,238.0
173,173,11622,134.53,135.0
174,174,11861,159.4,239.0
175,175,11995,119.66,134.0
176,176,12123,140.16,128.0
177,177,12237,128.25,114.0
178,178,12362,161.29,125.0
179,179,12541,130.57,179.0
180,180,12667,135.37,126.0
181,181,12822,149.92,155.0
182,182,12962,140.64,140.0
183,183,13054,132.91,92.0
184,184,13214,129.26,160.0
185,185,13339,130.78,125.0
186,186,13477,168.72,138.0
187,187,13624,142.73,147.0
188,188,13793,113.31,169.0
189,189,13920,137.19,127.0
190,190,13923,136.56,3.0
191,191,14073,157.83,150.0
192,192,14198,140.29,125.0
193,193,14344,126.1,146.0
194,194,14487,134.32,143.0
195,195,14639,144.63,152.0
196,196,14818,145.13,179.0
197,197,15010,151.65,192.0
198,198,15159,140.52,149.0
199,199,15369,140.23,210.0
200,200,15529,131.06,160.0
201,201,15706,147.56,177.0
202,202,15798,132.22,92.0
203,203,15951,147.54,153.0
204,204,16095,154.34,144.0
205,205,16245,133.01,150.0
206,206,16392,135.02,147.0
207,207,16549,156.79,157.0
208,208,16693,148.49,144.0
209,209,16827,148.05,134.0
210,210,17050,157.7,223.0
211,211,17183,149.71,133.0
212,212,17322,163.72,139.0
213,213,17470,156.71,148.0
214,214,17647,163.15,177.0
215,215,17827,164.46,180.0
216,216,17963,138.74,136.0
217,217,18093,146.61,130.0
218,218,18257,161.85,164.0
219,219,18469,194.0,212.0
220,220,18683,150.51,214.0
221,221,18817,143.95,134.0
222,222,18921,165.88,104.0
223,223,19098,157.89,177.0
224,224,19230,140.63,132.0
225,225,19388,132.25,158.0
226,226,19502,132.82,114.0
227,227,19705,151.04,203.0
228,228,19860,135.4,155.0
229,229,19988,167.3,128.0
230,230,20169,183.81,181.0
231,231,20343,154.01,174.0
232,232,20518,141.77,175.0
233,233,20645,188.22,127.0
234,234,20861,219.76,216.0
235,235,21055,171.38,194.0
236,236,21215,151.59,160.0
237,237,21349,154.58,134.0
238,238,21462,167.93,113.0
239,239,21684,170.05,222.0
240,240,21866,153.03,182.0
241,241,22059,148.66,193.0
242,242,22221,170.9,162.0
243,243,22412,159.43,191.0
244,244,22578,150.88,166.0
245,245,22877,176.55,299.0
246,246,23047,160.55,170.0
247,247,23249,142.83,202.0
248,248,23408,139.37,159.0
249,249,23595,242.52,187.0
250,250,23740,181.32,145.0
251,251,23965,440.8,225.0
252,252,24109,500.0,144.0
253,253,24361,171.85,252.0
254,254,24505,338.13,144.0
255,255,24726,171.78,221.0
256,256,25004,216.57,278.0
257,257,25206,174.79,202.0
258,258,25239,135.79,33.0
259,259,25426,186.2,187.0
260,260,25697,164.28,271.0
261,261,25859,178.79,162.0
262,262,25980,449.75,121.0
263,263,26134,202.14,154.0
264,264,26375,492.71,241.0
265,265,26609,158.55,234.0
266,266,26737,353.08,128.0
267,267,27058,472.58,321.0
268,268,27253,199.0,195.0
269,269,27401,153.13,148.0
270,270,27608,190.78,207.0
271,271,27794,227.1,186.0
272,272,28003,167.83,209.0
273,273,28151,345.46,148.0
274,274,28483,217.41,332.0
275,275,28629,126.61,146.0
276,276,28841,201.07,212.0
277,277,29013,240.5,172.0
278,278,29213,499.85,200.0
279,279,29392,236.43,179.0
280,280,29663,170.97,271.0
281,281,29907,184.84,244.0
282,282,30136,454.44,229.0
283,283,30342,114.85,206.0
284,284,30599,485.9,257.0
285,285,30757,151.74,158.0
286,286,30975,215.41,218.0
287,287,31197,149.7,222.0
288,288,31406,152.89,209.0
289,289,31601,121.67,195.0
290,290,31764,205.12,163.0
291,291,31964,227.84,200.0
292,292,32156,206.22,192.0
293,293,32353,206.04,197.0
294,294,32533,195.14,180.0
295,295,32726,158.24,193.0
296,296,32895,179.52,169.0
297,297,33053,314.72,158.0
298,298,33263,245.21,210.0
299,299,33484,427.04,221.0
300,300,33667,211.08,183.0
301,301,33859,262.62,192.0
302,302,34089,176.68,230.0
303,303,34264,423.82,175.0
304,304,34551,163.3,287.0
305,305,34708,194.97,157.0
306,306,34929,354.81,221.0
307,307,35133,200.72,204.0
308,308,35268,158.95,135.0
309,309,35519,183.72,251.0
310,310,35846,229.69,327.0
311,311,36079,275.2,233.0
312,312,36451,245.21,372.0
313,313,36753,500.0,302.0
314,314,37015,181.27,262.0
315,315,37515,184.39,500.0
316,316,37697,206.52,182.0
317,317,38019,157.74,322.0
318,318,38236,185.81,217.0
319,319,38484,213.39,248.0
320,320,38720,202.12,236.0
321,321,38906,242.85,186.0
322,322,39148,168.59,242.0
323,323,39372,209.17,224.0
324,324,39573,158.85,201.0
325,325,39923,244.65,350.0
326,326,40127,169.75,204.0
327,327,40338,163.79,211.0
328,328,40553,152.36,215.0
329,329,40736,208.67,183.0
330,330,40857,241.35,121.0
331,331,41011,185.76,154.0
332,332,41219,243.49,208.0
333,333,41246,167.46,27.0
334,334,41440,190.24,194.0
335,335,41659,176.97,219.0
336,336,41854,231.07,195.0
337,337,42060,167.39,206.0
338,338,42305,498.32,245.0
339,339,42561,208.39,256.0
340,340,42813,254.59,252.0
341,341,42975,154.13,162.0
342,342,43144,377.61,169.0
343,343,43360,186.24,216.0
344,344,43672,210.0,312.0
345,345,43873,189.33,201.0
346,346,44060,148.37,187.0
347,347,44286,150.45,226.0
348,348,44476,239.33,190.0
349,349,44763,149.09,287.0
350,350,44879,172.91,116.0
351,351,45005,151.26,126.0
352,352,45260,191.63,255.0
353,353,45433,161.06,173.0
354,354,45604,181.83,171.0
355,355,45896,183.02,292.0
356,356,46163,397.75,267.0
357,357,46330,227.4,167.0
358,358,46514,161.04,184.0
359,359,46721,199.54,207.0
360,360,46929,145.36,208.0
361,361,47038,205.12,109.0
362,362,47186,241.87,148.0
363,363,47413,383.47,227.0
364,364,47627,180.38,214.0
365,365,47849,187.26,222.0
366,366,48071,224.23,222.0
367,367,48229,180.0,158.0
368,368,48396,159.84,167.0
369,369,48589,197.11,193.0
370,370,48714,120.09,125.0
371,371,48904,182.85,190.0
372,372,49172,500.0,268.0
373,373,49343,139.98,171.0
374,374,49653,486.98,310.0
375,375,50153,365.02,500.0
376,376,50653,213.8,500.0
377,377,50897,115.01,244.0
378,378,51170,250.9,273.0
379,379,51501,500.0,331.0
380,380,51894,313.13,393.0
381,381,52394,457.9,500.0
382,382,52669,375.88,275.0
383,383,53169,310.05,500.0
384,384,53584,358.16,415.0
385,385,53901,366.55,317.0
386,386,54227,348.7,326.0
387,387,54727,441.76,500.0
388,388,55048,117.48,321.0
389,389,55185,274.34,137.0
390,390,55535,414.43,350.0
391,391,55923,410.05,388.0
392,392,56237,500.0,314.0
393,393,56606,172.93,369.0
394,394,57106,493.04,500.0
395,395,57461,500.0,355.0
396,396,57892,500.0,431.0
397,397,58296,500.0,404.0
398,398,58632,376.66,336.0
399,399,59132,411.13,500.0
400,400,59501,493.66,369.0
401,401,60001,500.0,500.0
402,402,60454,500.0,453.0
403,403,60774,391.42,320.0
404,404,61114,500.0,340.0
405,405,61465,500.0,351.0
406,406,61895,346.71,430.0
407,407,62233,145.16,338.0
408,408,62733,500.0,500.0
409,409,63233,147.51,500.0
410,410,63549,500.0,316.0
411,411,64049,500.0,500.0
412,412,64216,383.84,167.0
413,413,64716,500.0,500.0
414,414,65079,376.28,363.0
415,415,65579,135.25,500.0
416,416,66053,426.92,474.0
417,417,66553,500.0,500.0
418,418,67053,478.32,500.0
419,419,67553,500.0,500.0
420,420,68053,500.0,500.0
421,421,68553,500.0,500.0
422,422,69053,359.56,500.0
423,423,69553,480.94,500.0
424,424,70053,500.0,500.0
425,425,70445,500.0,392.0
426,426,70945,500.0,500.0
427,427,71445,500.0,500.0
428,428,71852,160.84,407.0
429,429,72173,500.0,421.0
430,430,72673,496.77,500.0
431,431,73088,500.0,475.0
432,432,73588,500.0,500.0
433,433,74063,500.0,500
434,434,74534,500.0,500
435,435,74625,500.0,500
