,Episode,Time Step,Average Reward,Episode Reward
216,216,2668,9.28,1.0
217,217,2675,9.38,7.0
218,218,2679,9.45,4.0
219,219,2691,9.27,12.0
220,220,2698,9.29,7.0
221,221,2699,9.4,1.0
222,222,2707,9.29,8.0
223,223,2721,9.3,14.0
224,224,2731,9.35,10.0
225,225,2735,9.43,4.0
226,226,2750,9.34,15.0
227,227,2772,9.22,22.0
228,228,2780,9.51,8.0
229,229,2795,9.45,15.0
230,230,2803,9.3,8.0
231,231,2814,9.29,11.0
232,232,2827,9.44,13.0
233,233,2834,9.35,7.0
234,234,2847,9.45,13.0
235,235,2851,9.54,4.0
236,236,2862,9.26,11.0
237,237,2872,9.27,10.0
238,238,2876,9.39,4.0
239,239,2885,9.3,9.0
240,240,2891,9.27,6.0
241,241,2905,9.33,14.0
242,242,2920,9.38,15.0
243,243,2944,9.28,24.0
244,244,2945,9.41,1.0
245,245,2957,9.33,12.0
246,246,2972,9.38,15.0
247,247,2991,9.39,19.0
248,248,2996,9.63,5.0
249,249,2998,9.58,2.0
250,250,2999,9.34,1.0
251,251,3000,9.48,1.0
252,252,3005,9.68,5.0
253,253,3019,9.42,14.0
254,254,3042,9.16,23.0
255,255,3049,9.42,7.0
256,256,3050,9.39,1.0
257,257,3051,9.35,1.0
258,258,3060,9.29,9.0
259,259,3072,9.34,12.0
260,260,3073,9.41,1.0
261,261,3084,9.22,11.0
262,262,3085,9.29,1.0
263,263,3097,9.38,12.0
264,264,3115,9.44,18.0
265,265,3116,9.38,1.0
266,266,3121,9.5,5.0
267,267,3126,9.3,5.0
268,268,3142,9.3,16.0
269,269,3143,9.3,1.0
270,270,3150,9.26,7.0
271,271,3153,9.36,3.0
272,272,3154,9.34,1.0
273,273,3161,9.3,7.0
274,274,3170,9.19,9.0
275,275,3180,9.42,10.0
276,276,3187,9.36,7.0
277,277,3191,9.41,4.0
278,278,3199,9.34,8.0
279,279,3213,9.3,14.0
280,280,3225,9.39,12.0
281,281,3231,9.38,6.0
282,282,3244,9.41,13.0
283,283,3253,9.4,9.0
284,284,3263,9.36,10.0
285,285,3272,9.25,9.0
286,286,3273,9.52,1.0
287,287,3281,9.47,8.0
288,288,3282,9.43,1.0
289,289,3283,9.43,1.0
290,290,3295,9.41,12.0
291,291,3302,9.43,7.0
