Timestep,Average Reward,Episode Reward
319,116.85,0.0
320,105.61,0.0
321,106.99,0.0
322,103.76,0.0
323,120.66,0.0
324,103.74,0.0
325,104.04,0.0
326,101.58,0.0
327,100.63,0.0
328,112.57,0.0
329,110.45,0.0
330,97.21,0.0
331,115.68,0.0
332,122.62,0.0
333,148.41,0.0
334,148.52,0.0
335,140.04,0.0
336,146.21,0.0
337,153.47,0.0
338,168.41,0.0
339,167.12,0.0
340,143.0,0.0
341,221.83,0.0
342,191.84,0.0
343,195.19,0.0
344,199.68,0.0
345,211.05,0.0
346,216.68,0.0
347,211.53,0.0
348,193.41,0.0
349,206.75,0.0
350,210.44,0.0
351,238.52,0.0
352,212.31,0.0
353,216.46,0.0
354,189.15,0.0
355,187.85,0.0
356,198.25,0.0
357,193.3,0.0
358,163.38,0.0
359,150.3,0.0
360,186.58,0.0
361,177.86,0.0
362,158.26,0.0
363,186.61,0.0
364,184.58,0.0
365,221.19,0.0
366,238.32,0.0
367,244.07,0.0
368,231.44,0.0
369,273.32,0.0
370,270.03,0.0
371,256.89,0.0
372,285.26,0.0
373,273.54,0.0
374,247.22,0.0
375,248.75,0.0
376,235.94,0.0
377,269.05,0.0
378,245.74,0.0
379,217.81,0.0
380,265.87,0.0
381,217.17,0.0
382,190.13,0.0
383,224.67,0.0
384,174.85,0.0
385,197.6,0.0
386,183.52,0.0
387,185.17,0.0
388,165.95,0.0
389,178.58,0.0
390,164.41,0.0
391,183.99,0.0
392,178.76,0.0
393,162.77,0.0
394,152.16,0.0
395,175.74,0.0
396,150.76,0.0
397,138.34,0.0
398,164.97,0.0
399,202.92,0.0
400,159.49,0.0
401,188.64,0.0
402,171.67,0.0
403,160.69,0.0
404,157.38,0.0
405,159.98,0.0
406,143.62,0.0
407,142.15,0.0
408,157.12,0.0
409,180.18,0.0
410,215.39,0.0
411,230.23,0.0
412,196.97,0.0
413,220.81,0.0
414,251.77,0.0
415,237.24,0.0
416,210.41,0.0
417,249.07,0.0
418,242.84,0.0
419,223.26,0.0
420,250.37,0.0
421,250.88,0.0
422,263.4,0.0
423,251.98,0.0
424,274.11,0.0
425,271.49,0.0
426,277.74,0.0
427,255.11,0.0
428,261.61,0.0
429,212.58,0.0
430,256.82,0.0
431,237.6,0.0
432,226.75,0.0
433,226.66,0.0
434,222.01,0.0
435,198.31,0.0
436,169.43,0.0
437,191.54,0.0
438,158.04,0.0
439,189.59,0.0
440,190.48,0.0
441,177.05,0.0
442,194.49,0.0
443,207.46,0.0
444,235.75,0.0
445,237.49,0.0
446,252.71,0.0
447,267.53,0.0
448,275.23,0.0
449,258.47,0.0
450,277.45,0.0
451,254.74,0.0
452,235.24,0.0
453,242.51,0.0
454,223.04,0.0
455,224.29,0.0
456,219.22,0.0
457,167.46,0.0
458,140.16,0.0
459,167.12,0.0
460,141.84,0.0
461,162.29,0.0
462,166.64,0.0
463,129.32,0.0
464,142.7,0.0
465,118.76,0.0
466,164.6,0.0
467,169.47,0.0
468,161.86,0.0
469,146.58,0.0
470,145.28,0.0
471,154.06,0.0
472,152.17,0.0
473,134.08,0.0
474,164.04,0.0
475,174.4,0.0
476,171.73,0.0
477,160.9,0.0
478,151.79,0.0
479,152.49,0.0
480,143.81,0.0
481,176.08,0.0
482,172.54,0.0
483,168.06,0.0
484,171.55,0.0
485,185.97,0.0
486,233.58,0.0
487,199.45,0.0
488,241.65,0.0
489,251.73,0.0
490,250.02,0.0
491,256.19,0.0
492,223.21,0.0
493,254.24,0.0
494,275.91,0.0
495,269.19,0.0
496,255.11,0.0
497,297.11,0.0
498,272.88,0.0
499,315.74,0.0
500,260.32,0.0
501,302.51,0.0
502,272.02,0.0
503,280.53,0.0
504,284.86,0.0
505,350.7,0.0
506,276.72,0.0
507,298.64,0.0
508,303.7,0.0
509,331.4,0.0
510,299.61,0.0
511,314.8,0.0
512,292.09,0.0
513,289.61,0.0
514,270.68,0.0
515,240.68,0.0
516,273.15,0.0
517,227.93,0.0
518,268.5,0.0
519,213.08,0.0
520,222.0,0.0
521,204.63,0.0
522,229.45,0.0
523,249.63,0.0
524,236.91,0.0
525,240.17,0.0
526,267.38,0.0
527,218.41,0.0
528,252.32,0.0
529,248.62,0.0
530,220.89,0.0
531,244.48,0.0
532,268.97,0.0
533,285.29,0.0
534,281.24,0.0
535,248.36,0.0
536,312.01,0.0
537,272.23,0.0
538,238.02,0.0
539,277.79,0.0
540,267.2,0.0
541,293.2,0.0
542,248.1,0.0
543,231.51,0.0
544,248.87,0.0
545,258.71,0.0
546,235.34,0.0
547,268.72,0.0
548,235.88,0.0
549,241.13,0.0
550,238.35,0.0
551,180.55,0.0
552,196.45,0.0
553,207.94,0.0
554,231.09,0.0
555,203.69,0.0
556,187.94,0.0
557,201.06,0.0
558,174.79,0.0
559,174.14,0.0
560,181.99,0.0
561,167.75,0.0
562,211.76,0.0
563,212.05,0.0
564,260.45,0.0
565,232.03,0.0
566,187.3,0.0
567,236.59,0.0
568,232.73,0.0
569,240.2,0.0
570,212.91,0.0
571,192.98,0.0
572,197.05,0.0
573,271.21,0.0
574,253.18,0.0
575,261.74,0.0
576,245.29,0.0
577,319.49,0.0
578,270.29,0.0
579,286.83,0.0
580,352.88,0.0
581,315.58,0.0
582,351.32,0.0
583,325.62,0.0
584,342.59,0.0
585,340.28,0.0
586,334.59,0.0
587,295.21,0.0
588,313.32,0.0
589,316.17,0.0
590,312.51,0.0
591,263.17,0.0
592,298.06,0.0
593,250.85,0.0
594,258.62,0.0
595,229.89,0.0
596,270.64,0.0
597,252.13,0.0
598,232.72,0.0
599,219.97,0.0
600,272.26,0.0
601,206.41,0.0
602,272.73,0.0
603,256.92,0.0
604,212.74,0.0
605,221.61,0.0
606,220.25,0.0
607,186.23,0.0
608,230.36,0.0
609,170.52,0.0
610,274.71,0.0
611,232.29,0.0
612,245.87,0.0
613,267.51,0.0
614,265.07,0.0
615,275.85,0.0
616,257.43,0.0
617,286.53,0.0
618,269.17,0.0
619,287.96,0.0
620,272.12,0.0
621,322.54,0.0
622,309.62,0.0
623,317.23,0.0
624,278.86,0.0
625,279.15,0.0
626,246.85,0.0
627,281.95,0.0
628,238.16,0.0
629,278.45,0.0
630,234.1,0.0
631,210.81,0.0
632,206.85,0.0
633,189.96,0.0
634,186.5,0.0
